doc_id,text,corn,cotton,rice,soybean,wheat
1,"USDA REPORTS 10.572 MLN ACRES IN CONSERVATION The U.S. Agriculture Department has accepted 10,572,402 more acres of highly erodable cropland into the Conservation Reserve Program, USDA announced.     In the latest signup, farmers on 101,020 farms submitted bids on a total of 11,254,837 acres.     The accepted bids for annual rental payments ranged up to 90 dlrs per acre with an average of 51.17 dlrs per acre.     Land entered into the Conservation Reserve Program will be ineligible for farming for ten years and must be planted with permanent vegetative cover.     Producers enrolled 1,894,764 acres of corn base acreage in the conservation program to take advantage of a corn ""bonus"" rental payment that was offered by USDA.     The corn bonus, to be paid in generic comodity certificates, amounts to two dlrs per bushel, based on the ASCS program payment yield for corn, for each acre of corn based accepted into the reserve.     The state showing the biggest enrollment in the conservation program during this signup was Texas with approximately 1.225 mln acres, followed by Iowa with 1.030 mln acres, Minnesota with 890,000 acres, Montana 875,000 acres, and Kansas with 842,000 acres.     Other states showing big enrollment were Missouri with 646,000 acres, North Dakota with 588,000 acres, and Nebraska with 554,000 acres.     In the corn belt states of Illinois and Indiana, 217,000 acres and 116,000 acres respectively were enrolled.     Farm land signed up to date in the conservation program totals 19,488,587 acres. Bids on the previous signups ranged up to 90 dlrs per acre with an average of 45.52 dlrs.  Reuter &#3;",1,0,0,0,0
2,"CBT TRADERS SAY U.S. CONSERVATION SIGNUP NEUTRAL The 11,254,837 acres of highly erodable farmland submitted to the U.S. Department of Agriculture for the conservation reserve program was within trade guesses of 10-12 mln and should have an overall neutral impact on grain and soybean prices Monday, grain traders said.     Farmers enrolled 1,894,764 acres of corn base acreage in the conservation program to take advantage of a corn bonus rental payment that was offered by the USDA, which may underpin new crop futures, they said.     New crop corn prices firmed earlier this week on ideas of a large sign-up in the program. But traders noted that the poor yielding acres being set-aside will result in only a modest decrease in final production figures, since farmers will concentrate on high yielding land.     Of a total 11,254,837 erodoble acres submitted, usda accepted 10,572,402 acres into the program at an average rental payment of 51.17 dlrs per acre.     Farm land signed up to date now totals 19,488,587 acres.  Reuter &#3;",1,0,0,0,0
3,"U.S. COTTON CERTIFICATE EXPIRATION DATE EXTENDED Expiration dates on upland cotton certificates issued under the 1986 upland cotton program are being extended, the Agriculture Department announced.     The certificates are being extended because of a shortage of Commodity Credit Corporation inventory available for exchange with certificates, USDA undersecretary Danial Amstutz said.     Presently, upland cotton commodity certificates expire nine months from the last day of the month of issuance.     Under the new procedure, all current outstanding and all new upland cotton certificates issued under the 1986 upland cotton program will have an expiration date of either February 29, 1988, or nine months from the last day of the month in which the certificate is issued, whichever is later.  Reuter &#3;",0,1,0,0,0
4,"SUDAN RECEIVES 50 MLN DLRS IN PL480 AUTHORITY Authorizations to purchase 50 mln dlrs worth of U.S. wheat and wheat flour under Public Law 480 were issued to Sudan today, the Agriculture Department said.     The authorization provides for 34 mln dlrs -- about 309,000 tonnes -- worth of wheat, grade U.S. number two or better (except durum which shall be number three or better).     It also provides for 16 mln dlrs -- about 73,000 tonnes -- worth of wheat flour.     The contracting period for both commodities is March 20 through August 31, 1987. The delivery period for wheat is March 20 through September 30, 1987 and for wheat flour is April 10 through SEptember 30, 1987, USDA said.  Reuter &#3;",0,0,0,0,1
5,"U.S. CONSERVATION FIGURES SEEN NEUTRAL/BEARISH U.S. Agriculture Department (USDA) figures for highly-erodible land enrolled into the Conservation Reserve Program were regarded by most grain analysts as neutral to bearish, although some said a full state-by-state breakdown would be needed to assess the full price impact.     ""Out of 10.5 mln acres only 1.9 mln acres were accepted in corn -- That's neutral at best and perhaps bearish to what the trade was looking for,"" Dale Gustafson of Drexel Burnham Lambert said.     The USDA said it had accepted 10,572,402 more acres into the conservation program out of bids on a total of 11,254,837 acres.     Gustafson said he would not be changing his estimate of planted acreage for corn as a result of the latest figures, but some other analysts said they would adjust their estimates slightly. The USDA is due to release planting intentions figures March 31.     Indications of a heavy sign-up in the conservation program recently lowered most trade estimates of corn planted acreage to 63.0 to 67.0 mln acres from 67.0 to 69.0 mln.     Richard Loewy, analyst with Prudential Bache Securities, said there was not enough information to completely assess the conservation figures. ""The 1.9 mln acres on corn is certainly disappointing,"" he added.     The USDA later released the state-by-state breakdown of the enrollment figures.     Loewy said the initial figures appeared to be negative for both new crop corn and soybeans, and might possibly mean an upward adjustment in planting intention figures.     Asked about the impact on the flow of generic certificates onto the market this spring, he said: ""The trade was definitely looking higher, so certificates are going to be less than expected.""     The USDA offered a special corn ""bonus"" rental payment to the farmers to be paid in generic certificates. The bonus amounts to two dlrs per bushel, based on the farm program payment yield for corn, for each acre of corn accepted into the reserve.     Katharina Zimmer, analyst for Merrill Lynch Futures, said the conservation sign-up was slightly higher than she had expected, although she noted that some trade expectations were considerably higher than the actual figures.     ""I think it is friendly for the market, at least in the long run,"" she said.     Susan Hackmann of AgriAnalysis said there was some confusion over whether trade ideas of an enrollment figure between 15 and 18 mln acres referred to the total sign-up or the latest addition.     ""It seems the trade was looking for more acres to be bid into the program,"" she said.     Hackmann said she would not make much change to her ideas about corn planting figures as a result of the conservation sign-up. She added that while some trade guesses were as low as 61 mln acres, she was looking for corn plantings to be in the high 60's.     Zimmer of Merrill Lynch said she would be making a slight reduction of about one mln acres in her planting estimate to around 64 mln acres.     New crop corn prices at the Chicago Board of Trade firmed earlier this week on ideas of a large sign-up in the program, despite the fact that acres enrolled are generally poor yielding and not likely to make a substantial difference to final production figures.  Reuter &#3;",1,0,0,0,0
6,"TANZANIA WANTS TO EXPORT 200,000 TONNES OF MAIZE Tanzania seeks to export a surplus of 200,000 tonnes of maize from last year's bumper harvest, agriculture minister Paul Bomani said yesterday.     The 1986 maize crop was officially estimated at 2.1 mln tonnes, but only a fraction of this was marketed, with most grain consumed by the farmers who grew it.     The state-owned National Milling Corp (NMC) meanwhile said it is trying to sell 190,742 tonnes of maize stored in different parts of the country.     NMC acting general manager John Rubibira said Tanzania has only 56,000 tonnes of silo storage capacity, concentrated in Dar es Salaam, Arusha in the north and Iringa in central Tanzania.     In addition, the country has 450,000 tonnes of flat storage capacity, he added.     Rubibira said the government is planning to build new silos in the main maize producing areas of Iringa, Mbeya, Ruvuma and Rukwa.  REUTER &#3;",1,0,0,0,0
7,"MADAGASCAR RICE CROP ESTIMATED HIGHER IN 1987 Madagascar's vital rice crop is estimated at 2,286,000 tonnes of paddy this year, up from 2,138,000 in 1986, the Ministry of Agriculture said.     The Trade Ministry said rice imports quadrupled in local currency value during the first nine months of last year as the government established a buffer stock of the country's staple food.     Rice imports increased to 82.4 billion Malagasy francs during the first nine months of last year from 20 billion in the same period of 1985, the ministry said, without disclosing the tonnages involved.  REUTER &#3;",0,0,1,0,0
8,"ZAMBIA, IMF TALKS STALL ON FOOD SUBSIDIES Zambia's talks with the World Bank and International Monetary Fund (IMF) on a financial rescue package have run into difficulties on the issue of food subsidies, an official newspaper said.     The Times of Zambia, which is run by the ruling United National Independence Party (UNIP), quoted official sources as saying the IMF and World Bank had refused to continue financing food subsidies and were pressing the government to explain how it proposes to pay for them.     President Kenneth Kaunda tried to abolish maize subsidies last December, in line with IMF recommendations, but the move caused maize meal prices to double overnight and led to riots.     The subsidies were immediately restored as part of moves to quell the disturbances.     The Times of Zambia said another major issue in the government's current talks with the IMF and World Bank was the remodelling of Zambia's foreign exchange auction.     The central bank's weekly auction of foreign exchange to the private sector has been suspended since the end of January, pending modifications to slow down the rate of devaluation and dampen fluctuations in the exchange rate.     The kwacha slid to around 15 per dollar under the auction, losing 85 pct of its value in 16 months, but since the end of January has been revalued to a fixed rate of nine per dollar.     Banking sources said Zambia was persuaded by the World Bank and IMF to lift its proposed ceiling of 12.50 kwacha per dollar on the currency's devaluation once the auctions restart.  Reuter &#3;",1,0,0,0,0
9,"CCC ACCEPTS WHEAT BID FOR W AFRICA COUNTRIES The Commodity Credit Corportion, CCC, has accepted a bid for an export bonus to cover the sale of 15,000 tonnes of U.S. wheat to West African countries, the U.S. Agriculture Department said.     The dark northern spring wheat is for shipment May 15-June 15, 1987.     The bonus of 40.05 dlrs per tonne was made to Peavey Company and will be paid in the form of commodities from the CCC inventory, it said.     An additional 315,500 tonnes of wheat are still available to West African countries under the Export Enhancement Program initiative announced October 30, 1986, it said.  Reuter &#3;",0,0,0,0,1
10,"U.S. SOY PRODUCERS THINK EC OILS TAX UNLIKELY American soybean producers are confident the proposed European Community (EC) tax on vegetable oils and fats will be rejected but are leaving nothing to chance, American Soybean Association (ASA) president-elect Wayne Bennett said.     Bennett, who is leading one of three soybean producer delegations on a lobbying tour of EC capitals, was speaking at a lunch.     After meetings at the Economics and Foreign ministries this morning, he said the Dutch Government had indicated it would vote against the proposal, as had a number of other countries.     ""Our information suggests we will have the required number of votes in Brussels to prevent the tax proposal going forward,"" he said.     ""The proposal has been talked of in Brussels for the past 20 years, and dropped every time. What we want now is to kill it once and for all,"" Bennett added.     Backing up the soybean producers' active lobbying, the U.S. Government has also indicated it will be prepared to retaliate with penal import taxes if the proposal does get through, he said.     The U.S. Government also feels it has a good case to fight the proposed tax in the General Agreement on Tariffs and Trade (GATT), a U.S. Embassy spokesman said.     U.S. Exports of soybeans and products to the EC account for one-fifth of annual production, and are worth about 2.5 billion dlrs a year, Bennett said.     The proposed tax on oils and fats would hit U.S. Producers badly while at the same time virtually doubling the price of soyoil in the EC, which would suffer far worse than other higher-priced oils because of the nature of the proposed tax, he added.     The revenue to the EC from the tax would simply be used to finance the EC's own oilseed subsidy machine, he said.     ""We in the ASA are dedicated free-traders. We helped defeat the Wine Equity Act two years ago, but we will not stand by and watch our own farmers suffer from such protectionist EC measures,"" Bennett said.     ""The mood in the U.S. Is turning increasingly protectionist, and the EC's actions are fueling the chances of a trade war,"" he added.  Reuter &#3;",0,0,0,1,0
